MPNN_LSTM,0,5.96708,1.30109
MPNN_LSTM,1,6.20194,1.28485
MPNN_LSTM,2,6.56066,1.71712
MPNN_LSTM,3,6.65070,1.57055
MPNN_LSTM,4,6.73570,1.59497
MPNN_LSTM,5,6.71923,1.46809
MPNN_LSTM,6,6.72241,1.70419
MPNN_LSTM,7,6.81007,1.53175
MPNN_LSTM,8,6.91636,1.67940
MPNN_LSTM,9,7.17498,1.72175
MPNN_LSTM,10,7.29796,1.73387
MPNN_LSTM,11,7.45814,1.79641
MPNN_LSTM,12,7.44526,1.74201
MPNN_LSTM,13,7.30831,1.55753
MPNN_LSTM,0,6.84200,1.28185
MPNN_LSTM,1,7.07261,1.29345
MPNN_LSTM,2,7.33064,1.63714
MPNN_LSTM,3,7.68413,1.92568
MPNN_LSTM,4,7.98341,2.44146
MPNN_LSTM,5,7.96110,2.05231
MPNN_LSTM,6,8.07578,2.57450
MPNN_LSTM,7,7.66412,1.38962
MPNN_LSTM,8,8.61621,3.17532
MPNN_LSTM,9,8.13020,2.65397
